,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
0,0,model36,4,14,10,14,7,6,"[1309, 1311, 1313, 1315, 1316, 1318, 1319, 1322, 1323, 1325, 1326]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [8, 13], [9, 13], [9, 14], [10, 14]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,180,8
1,1,model36,3,14,11,14,7,8,"[1314, 1318, 1321, 1324, 1327, 1330, 1334, 1338, 1341, 1344, 1347, 1350]","[(7, 8), [7, 9], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12], [9, 13], [8, 13], [9, 13], [10, 13], [10, 14], [11, 14]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]","[8, 2]","[0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2]",2,8,6,180,6
2,2,model36,3,9,11,9,7,2,"[1311, 1315, 1319, 1322, 1324, 1326, 1328, 1330, 1332, 1334, 1336]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [8, 8], [9, 8], [10, 8], [10, 9], [11, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,7,180,7
3,3,model36,5,13,9,13,7,6,"[1312, 1315, 1318, 1321, 1324, 1327, 1331, 1334, 1338, 1342, 1345]","[(7, 6), [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [6, 12], [6, 13], [5, 13]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0)]","[1, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,4,7,180,9
4,4,model36,12,5,12,9,6,7,"[1315, 1321, 1327, 1332, 1338, 1344, 1349, 1357]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2]",0,4,6,90,7
5,5,model36,4,5,10,5,7,12,"[1313, 1314, 1316, 1317, 1319, 1321, 1322, 1324, 1326, 1327, 1329, 1330]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [8, 6], [7, 6], [6, 6], [5, 6], [5, 5], [4, 5]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 1]",1,6,7,0,7
6,6,model36,3,10,11,10,7,2,"[1313, 1315, 1317, 1319, 1321, 1323, 1325, 1327, 1328, 1330, 1333, 1335]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [3, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,8,180,8
7,7,model36,4,11,10,11,7,5,"[1314, 1316, 1317, 1319, 1320, 1323, 1324, 1326, 1328, 1329, 1331]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [5, 11], [5, 10], [5, 11], [4, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (-1, 0)]",[9],"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,6,6,180,6
8,8,model36,2,5,2,9,10,7,"[1310, 1312, 1314, 1316, 1318, 1320, 1322, 1324, 1326, 1328, 1330, 1332]","[(10, 7), [9, 7], [8, 7], [7, 7], [8, 7], [7, 7], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [2, 5]]","[(-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,4,8,270,12
9,9,model36,4,6,10,6,7,13,"[1312, 1315, 1318, 1321, 1324, 1327, 1331, 1334, 1337, 1340]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (0, -1), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",special,6,7,0,7
