,pacmanPositionX,pacmanPositionY,bean1PositionX,bean1PositionY,bean2PositionX,bean2PositionY,bottom,height,direction
1,7,6,5,0,9,0,4,6,0
2,7,7,5,1,9,1,4,6,0
3,7,8,5,2,9,2,4,6,0
4,7,9,5,3,9,3,4,6,0
5,7,10,5,4,9,4,4,6,0
6,7,11,5,5,9,5,4,6,0
7,7,12,5,6,9,6,4,6,0
8,7,13,5,7,9,7,4,6,0
9,7,14,5,8,9,8,4,6,0
10,0,7,6,5,6,9,4,6,90
11,1,7,7,5,7,9,4,6,90
12,2,7,8,5,8,9,4,6,90
13,3,7,9,5,9,9,4,6,90
14,4,7,10,5,10,9,4,6,90
15,5,7,11,5,11,9,4,6,90
16,6,7,12,5,12,9,4,6,90
17,7,7,13,5,13,9,4,6,90
18,8,7,14,5,14,9,4,6,90
19,7,0,5,6,9,6,4,6,180
20,7,1,5,7,9,7,4,6,180
21,7,2,5,8,9,8,4,6,180
22,7,3,5,9,9,9,4,6,180
23,7,4,5,10,9,10,4,6,180
24,7,5,5,11,9,11,4,6,180
25,7,6,5,12,9,12,4,6,180
26,7,7,5,13,9,13,4,6,180
27,7,8,5,14,9,14,4,6,180
28,6,7,0,5,0,9,4,6,270
29,7,7,1,5,1,9,4,6,270
30,8,7,2,5,2,9,4,6,270
31,9,7,3,5,3,9,4,6,270
32,10,7,4,5,4,9,4,6,270
33,11,7,5,5,5,9,4,6,270
34,12,7,6,5,6,9,4,6,270
35,13,7,7,5,7,9,4,6,270
36,14,7,8,5,8,9,4,6,270
37,7,7,5,0,9,0,4,7,0
38,7,8,5,1,9,1,4,7,0
39,7,9,5,2,9,2,4,7,0
40,7,10,5,3,9,3,4,7,0
41,7,11,5,4,9,4,4,7,0
42,7,12,5,5,9,5,4,7,0
43,7,13,5,6,9,6,4,7,0
44,7,14,5,7,9,7,4,7,0
45,0,7,7,5,7,9,4,7,90
46,1,7,8,5,8,9,4,7,90
47,2,7,9,5,9,9,4,7,90
48,3,7,10,5,10,9,4,7,90
49,4,7,11,5,11,9,4,7,90
50,5,7,12,5,12,9,4,7,90
51,6,7,13,5,13,9,4,7,90
52,7,7,14,5,14,9,4,7,90
53,7,0,5,7,9,7,4,7,180
54,7,1,5,8,9,8,4,7,180
55,7,2,5,9,9,9,4,7,180
56,7,3,5,10,9,10,4,7,180
57,7,4,5,11,9,11,4,7,180
58,7,5,5,12,9,12,4,7,180
59,7,6,5,13,9,13,4,7,180
60,7,7,5,14,9,14,4,7,180
61,7,7,0,5,0,9,4,7,270
62,8,7,1,5,1,9,4,7,270
63,9,7,2,5,2,9,4,7,270
64,10,7,3,5,3,9,4,7,270
65,11,7,4,5,4,9,4,7,270
66,12,7,5,5,5,9,4,7,270
67,13,7,6,5,6,9,4,7,270
68,14,7,7,5,7,9,4,7,270
69,7,8,5,0,9,0,4,8,0
70,7,9,5,1,9,1,4,8,0
71,7,10,5,2,9,2,4,8,0
72,7,11,5,3,9,3,4,8,0
73,7,12,5,4,9,4,4,8,0
74,7,13,5,5,9,5,4,8,0
75,7,14,5,6,9,6,4,8,0
76,0,7,8,5,8,9,4,8,90
77,1,7,9,5,9,9,4,8,90
78,2,7,10,5,10,9,4,8,90
79,3,7,11,5,11,9,4,8,90
80,4,7,12,5,12,9,4,8,90
81,5,7,13,5,13,9,4,8,90
82,6,7,14,5,14,9,4,8,90
83,7,0,5,8,9,8,4,8,180
84,7,1,5,9,9,9,4,8,180
85,7,2,5,10,9,10,4,8,180
86,7,3,5,11,9,11,4,8,180
87,7,4,5,12,9,12,4,8,180
88,7,5,5,13,9,13,4,8,180
89,7,6,5,14,9,14,4,8,180
90,8,7,0,5,0,9,4,8,270
91,9,7,1,5,1,9,4,8,270
92,10,7,2,5,2,9,4,8,270
93,11,7,3,5,3,9,4,8,270
94,12,7,4,5,4,9,4,8,270
95,13,7,5,5,5,9,4,8,270
96,14,7,6,5,6,9,4,8,270
97,7,6,4,0,10,0,6,6,0
98,7,7,4,1,10,1,6,6,0
