,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
0,0,maxModel12,7,5,7,9,14,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(14, 7), [14, 6], [13, 6], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[1, 0, 1, 0, 0, 0, 0, 0, 0]",0,4,7,270,1
1,1,maxModel12,3,14,11,14,7,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 8), [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [4, 12], [4, 13], [4, 12], [4, 11], [3, 11], [3, 12], [3, 13], [3, 14]]","[(-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[10, 9]","[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",2,8,6,180,1
2,2,maxModel12,3,7,11,7,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 0), [7, 1], [7, 2], [6, 2], [5, 2], [5, 3], [5, 4], [5, 3], [5, 4], [4, 4], [4, 5], [3, 5], [3, 6], [3, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]",[7],"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,8,7,180,1
3,3,maxModel12,9,4,9,10,3,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(3, 7), [3, 8], [3, 9], [4, 9], [4, 10], [5, 10], [6, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[4, 7]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,6,6,90,1
4,4,maxModel12,5,4,9,4,7,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 12), [8, 12], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[],"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0]",0,4,8,0,1
5,5,maxModel12,9,5,9,9,3,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(3, 7), [3, 8], [3, 9], [4, 9], [4, 8], [4, 9], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9]]","[(0, 1), (0, 1), (1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[4],"[2, 2, 0, 0, 2, 0, 0, 0, 0, 0]",1,4,6,90,1
6,6,maxModel12,1,3,1,11,9,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(9, 7), [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11], [3, 11], [2, 11], [1, 11]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[8],"[2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0]",1,8,8,270,1
7,7,maxModel12,4,2,10,2,7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [7, 9], [8, 9], [9, 9], [9, 8], [9, 7], [9, 6], [10, 6], [10, 5], [10, 4], [10, 3], [10, 2]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0]",0,6,8,0,1
8,8,maxModel12,4,7,10,7,7,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 14), [8, 14], [9, 14], [10, 14], [10, 13], [10, 12], [10, 11], [10, 10], [9, 10], [10, 10], [11, 10], [10, 10], [10, 9], [10, 8], [10, 7]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]","[8, 10]","[2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",2,6,7,0,1
9,9,maxModel12,7,4,7,10,1,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 7), [1, 8], [1, 9], [2, 9], [3, 9], [4, 9], [4, 10], [5, 10], [6, 10], [7, 10]]","[(0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[1],"[1, 2, 0, 0, 0, 2, 0, 0, 0]",special,6,6,90,0
