,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,model14,8,5,8,9,1,7,"[1313, 1317, 1321, 1324, 1326, 1329, 1331, 1334, 1337, 1339, 1342]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [5, 8], [6, 8], [6, 7], [7, 7], [8, 7], [8, 8], [8, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1)]","[5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,7,90
1,model14,3,8,11,8,7,2,"[1315, 1320, 1326, 1331, 1335, 1341, 1344, 1347, 1349, 1352]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,6,180
2,model14,4,1,10,1,7,9,"[1308, 1311, 1314, 1317, 1320, 1323, 1325, 1328, 1330, 1333, 1336, 1338, 1341]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [6, 2], [5, 2], [5, 1], [6, 1], [5, 1], [4, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0)]",[11],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",1,6,8,0
3,model14,4,5,4,9,12,7,"[1308, 1310, 1311, 1314, 1316, 1319, 1321, 1323, 1325, 1326, 1327, 1328]","[(12, 7), [11, 7], [10, 7], [9, 7], [9, 6], [8, 6], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [4, 5]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,4,8,270
4,model14,11,3,11,11,3,7,"[1311, 1314, 1317, 1318, 1320, 1322, 1323, 1324, 1326, 1327, 1329, 1332, 1333, 1335]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [9, 6], [9, 5], [10, 5], [10, 4], [11, 4], [11, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",1,8,8,90
5,model14,3,11,11,11,7,4,"[1308, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1318, 1319, 1320]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [6, 10], [5, 10], [4, 10], [4, 11], [3, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,8,7,180
6,model14,5,6,9,6,7,0,"[1315, 1318, 1320, 1322, 1323, 1324, 1326, 1327, 1328, 1329]","[(7, 0), [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 4], [7, 5], [7, 6], [8, 6], [9, 6]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (1, 0), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,4,6,180
7,model14,4,1,10,1,7,8,"[1311, 1313, 1315, 1318, 1320, 1323, 1325, 1328, 1330, 1332]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [8, 2], [9, 2], [9, 1], [10, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,7,0
8,model14,12,4,12,10,6,7,"[1307, 1308, 1310, 1311, 1312, 1313, 1314, 1316, 1317, 1319, 1320, 1321, 1323]","[(6, 7), [7, 7], [8, 7], [9, 7], [8, 7], [9, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 8], [11, 9], [12, 9], [12, 10]]","[(1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",2,6,6,90
9,model14,3,11,11,11,7,3,"[1308, 1310, 1311, 1312, 1313, 1314, 1316, 1318, 1319, 1321, 1322, 1323]","[(7, 3), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [9, 10], [10, 10], [10, 11], [11, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 2]",special,8,8,180
