,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,model42,12,5,12,9,6,7,"[9, 15, 20, 26, 30, 35, 40, 46, 51, 57]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7], [12, 7], [12, 8], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 1, 0, 2, 2]",1,4,6,90
1,model42,0,5,0,9,8,7,"[11, 17, 24, 30, 36, 45, 55, 62, 68, 74, 83, 89]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [3, 7], [2, 7], [1, 7], [0, 7], [0, 6], [0, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,8,270
2,model42,4,3,4,11,10,7,"[132, 145, 191, 202, 208, 219, 226, 234, 245, 256]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,8,6,270
3,model42,8,4,8,10,1,7,"[11, 18, 24, 31, 37, 45, 52, 58, 65, 71]","[(1, 7), [2, 7], [3, 7], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [7, 5], [8, 5], [8, 4]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,7,90
4,model42,3,13,11,13,7,5,"[12, 19, 26, 33, 40, 46, 54, 64, 71, 78, 84, 91, 96, 121, 127, 132]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [6, 11], [5, 11], [5, 10], [5, 11], [5, 12], [4, 12], [4, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]","[11, 9]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",2,8,8,180
5,model42,0,3,0,11,7,7,"[13, 18, 24, 29, 34, 41, 49, 55, 61, 66, 72]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [1, 9], [1, 10], [0, 10], [0, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",0,8,7,270
6,model42,3,4,3,10,9,7,"[10, 15, 20, 26, 31, 36, 40, 45, 49]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [4, 5], [3, 5], [3, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,6,270
7,model42,7,5,7,9,0,7,"[9, 13, 18, 23, 29, 34, 40, 45, 50, 54, 60]","[(0, 7), [1, 7], [2, 7], [3, 7], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [6, 8], [7, 8], [7, 9]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (0, 1)]","[4, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,4,7,90
8,model42,4,4,10,4,7,12,"[12, 18, 24, 28, 33, 39, 45, 50, 56, 62, 68, 74, 79]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [9, 4], [8, 4], [9, 4], [10, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (-1, 0), (1, 0), (1, 0)]",[11],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2]",1,6,8,0
9,model42,1,3,1,11,7,7,"[11, 19, 28, 37, 44, 54, 60, 71, 81, 91]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [2, 10], [1, 10], [1, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 1, 2, 2, 0, 2]",special,8,6,270
