,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,model26,5,12,9,12,7,5,"[1659, 1786, 1913, 2039, 2165, 2291, 2418, 2544, 2670, 2796, 2922, 3049, 3175]","[(7, 5), [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12]]","[(0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0)]","[9, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,4,7,180
1,model26,8,3,8,11,0,7,"[1431, 1557, 1683, 1810, 1937, 2064, 2195, 2322, 2454, 2584, 2710, 2835]","[(0, 7), [1, 7], [2, 7], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [6, 5], [7, 5], [7, 4], [7, 3], [8, 3]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1,8,8,90
2,model26,1,5,1,9,9,7,"[1432, 1558, 1684, 1811, 1940, 2067, 2194, 2320, 2446, 2573]","[(9, 7), [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,8,270
3,model26,0,3,0,11,6,7,"[1431, 1557, 1683, 1809, 1935, 2061, 2190, 2321, 2449, 2579]","[(6, 7), [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [1, 9], [1, 10], [0, 10], [0, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 0, 2, 0, 2, 0, 2]",1,8,6,270
4,model26,0,4,0,10,7,7,"[1430, 1557, 1683, 1809, 1940, 2069, 2195, 2321, 2447, 2573, 2699, 2825]","[(7, 7), [6, 7], [5, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [0, 5], [0, 4]]","[(-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1,6,7,270
5,model26,5,4,5,10,11,7,"[1430, 1556, 1686, 1815, 1944, 2072, 2203, 2333, 2462]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [7, 8], [6, 8], [6, 9], [5, 9], [5, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,6,270
6,model26,2,4,2,10,10,7,"[1432, 1558, 1684, 1810, 1936, 2062, 2189, 2316, 2443, 2570, 2700]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [2, 9], [2, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,270
7,model26,10,3,10,11,3,7,"[1436, 1562, 1689, 1815, 1947, 2074, 2201, 2333, 2459, 2587, 2714, 2841, 2967]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6], [10, 5], [10, 4], [10, 5], [10, 4], [10, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1)]","[11, 8]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",2,8,7,90
8,model26,3,5,3,9,9,7,"[1432, 1559, 1686, 1813, 1940, 2066, 2192, 2318, 2444, 2575]","[(9, 7), [8, 7], [7, 7], [6, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 6], [3, 5]]","[(-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,6,270
9,model26,10,3,10,11,4,7,"[1431, 1557, 1689, 1815, 1942, 2068, 2194, 2320, 2446, 2573]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [10, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1)]",[6],"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2]",special,8,6,90
